2015-05-11 13:13:37,561 [Worker-3] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.ratajo:amaderbari:1.0.0-BUILD-SNAPSHOT @ /home/tamim/amaderbari/workspace/amaderbari/pom.xml.
2015-05-11 13:13:37,568 [Worker-12] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.ratajo:amaderbari:1.0.0-BUILD-SNAPSHOT @ /home/tamim/amaderbari/workspace/amaderbari/pom.xml.
2015-05-11 13:13:53,942 [Worker-12] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-05-11 13:13:54,113 [Worker-12] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2015-05-11 13:13:54,175 [Worker-12] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-05-11 13:13:54,182 [Worker-12] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2015-05-11 13:14:00,019 [Worker-15] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.ratajo:amaderbari:1.0.0-BUILD-SNAPSHOT @ /home/tamim/amaderbari/workspace/amaderbari/pom.xml.
2015-05-11 13:14:10,329 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-05-11 13:14:10,381 [Worker-17] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2015-05-11 13:14:10,394 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-05-11 13:14:10,401 [Worker-17] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2015-05-11 13:16:07,554 [Worker-14] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-05-11 13:16:07,564 [Worker-14] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-05-11 13:16:07,570 [Worker-14] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-05-11 13:16:07,584 [Worker-14] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
